building,roomNumber,occupancy,apartmentRate,y2006,y2007,y2008,y2009,y2010,y2011,b0,b1
"Grad Center D",410,5,,514,546,535,552,548,512,60.4329024659078,-0.112958696166578
"Caswell Hall",406,2,,514,513,481,538,521,531,51.7237960936137,-0.100078289727741
"Minden",202,3,,514,500,330,,,,9.65314676724651,-0.0215144808626109
"New Pembroke #1",406,1,,514,522,611,572,510,507,25.174497604648,-0.0466327524820448
"New Pembroke #1",302,1,,514,492,519,,504,481,65.1828610880786,-0.129717136493641
"Caswell Hall",412,2,,515,514,483,520,524,,63.7922863877866,-0.124667356630225
"Grad Center D",640,6,,516,653,571,604,575,,23.3418192733171,-0.0399347004536225
"Caswell Hall",206,2,,517,521,537,529,509,494,67.9579114195742,-0.131108510777078
"Caswell Hall",307,2,,517,510,515,573,528,556,41.5111903007121,-0.0777848601736922
"New Pembroke #1",306,1,,518,495,601,569,517,507,25.746500554533,-0.048123612702231
"Minden",302,3,,519,608,330,452,539,,9.22372278192426,-0.0187864422375834
"Jameson House",114,1,,519,445,446,,,,24.6287551394523,-0.0523459062473074
"Minden",502,3,,520,620,518,463,585,597,18.1115421137938,-0.03285735072613
"Grad Center D",510,5,,521,574,550,,,,45.9427679432458,-0.0837098633802704
"Caswell Hall",405,2,,522,556,490,538,568,554,37.641170793648,-0.0699000096737722
"Caswell Hall",409,2,,522,528,534,569,531,554,59.6105831059523,-0.110355908167488
"Caswell Hall",303,2,,523,545,,,520,549,75.3710226244763,-0.140946278867006
"Jameson House",106,1,,524,445,345,,419,587,9.91818178231127,-0.0213387307352116
"Jameson House",125,1,,524,434,557,,,,17.5971594968272,-0.0348093157616913
"Diman House",208,2,,525,,,,,,12051.2078871272,-22.9328409964468
"New Pembroke #1",202,1,,525,482,470,491,502,474,47.7694088184168,-0.0972570250746676
"Grad Center D",430,5,,526,578,559,555,,533,53.3242989141901,-0.0968300306531029
"Minden",602,3,,527,575,520,,586,566,38.1131377787773,-0.0686350974575419
"Slater Hall",406,2,,528,605,564,527,414,337,9.55043054380633,-0.0192042718085198
"Jameson House",7,1,,528,299,,,,,6.42725207364013,-0.0155033253500409
"Mead House",103,1,,528,381,633,,,,8.58110244195789,-0.0165976994453018
"Caswell Hall",305,2,,529,552,553,573,528,547,64.5171956679687,-0.117839626726752
"Caswell Hall",308,2,,529,552,570,584,528,556,49.5919155386575,-0.0895699802336457
"Caswell Hall",205,2,,529,561,,579,531,530,48.5573907360684,-0.0888515803855908
"Caswell Hall",110,2,,530,570,477,602,524,503,23.4359349475664,-0.0438177855057735
"Mead House",113,1,,530,381,439,465,407,426,16.9042352598021,-0.0382591896207809
"Grad Center D",610,5,,531,554,563,547,549,544,102.295980526016,-0.186501331861463
"Caswell Hall",304,2,,532,553,543,,557,549,113.812235988873,-0.207952194388584
"Caswell Hall",301,2,,532,535,531,538,520,549,111.93887363997,-0.20936198311715
"Caswell Hall",404,2,,532,526,574,519,524,534,53.3389277183001,-0.0996368510336375
"New Pembroke #1",204,1,,533,,562,551,502,542,47.8697370225665,-0.088894588579314
"New Pembroke #1",206,1,,533,491,557,510,508,507,43.8299516554621,-0.0845865899321194
"Diman House",221,3,1,534,568,521,560,498,645,21.3571463188506,-0.0384863088503099
"Diman House",217,2,,534,643,583,618,583,624,30.0587794082392,-0.0502550908551059
"Grad Center D",240,6,,535,644,582,593,606,621,31.5619187289994,-0.0528301371269976
"New Pembroke #1",315,2,,535,745,643,659,619,590,14.8135654611267,-0.0230895904363931
"New Pembroke #1",307,1,,535,498,655,553,534,495,18.3607068869926,-0.0336487995031565
"New Pembroke #1",402,1,,536,508,601,557,509,483,25.0585071267171,-0.0470280490117438
"Caswell Hall",309,2,,537,550,534,578,533,,58.5992025639394,-0.107147929179806
"Caswell Hall",201,2,,538,493,521,579,526,519,36.9935029754986,-0.0698210022596294
"Caswell Hall",204,2,,538,560,543,597,531,556,46.6172080049442,-0.0840454341391168
"Caswell Hall",209,2,,539,,,,533,554,111.474056553376,-0.205482131895623
"Caswell Hall",212,2,,539,556,522,584,533,513,41.978881297575,-0.0774994614884768
"Olney House","400A",8,,540,551,,,,,180.309340856583,-0.330236888015715
"New Pembroke #1",404,1,,540,502,611,572,513,480,21.9353564595557,-0.0408583033143214
"New Pembroke #3",317,1,,541,457,512,473,363,285,8.94636168807039,-0.0203688252355218
"Diman House",334,2,,541,572,557,606,573,,48.035056070182,-0.0842276659423346
"Diman House",333,2,,541,686,557,606,573,555,21.2101821143045,-0.0361157016992572
"Diman House",317,2,,541,589,574,620,585,624,37.9885220718576,-0.0644585626040055
"Grad Center D",330,5,,542,564,,,,,91.2985298093885,-0.164947659998573
"Caswell Hall",312,2,,543,545,534,536,,,212.890734488923,-0.394242100905454
"Caswell Hall",208,2,,544,532,537,584,555,530,53.6524029362242,-0.097995255488018
"Caswell Hall",101,2,,544,568,570,602,522,532,37.5840133667586,-0.0674958444362317
"Grad Center D",540,6,,545,610,525,563,547,546,38.0188029416119,-0.0683175834695742
"Grad Center D",630,5,,546,544,584,,599,571,48.3263188940685,-0.0848872176985547
"Grad Center D",310,5,,547,543,559,568,523,522,58.0453826003089,-0.106668390476157
"Harkness House",214,2,,548,,,,,,12496.1833907411,-22.7824675692313
"Barbour Hall Apartments",190,4,1,549,646,528,429,496,532,14.6371628584195,-0.0275746919030847
"New Pembroke #3",105,1,,550,378,379,470,,,11.2369232898111,-0.0252627459833397
"New Pembroke #3",217,1,,550,397,661,343,369,347,6.52324120446924,-0.0146111914299461
"New Pembroke #3",218,1,,550,397,661,343,369,347,6.52324120446924,-0.0146111914299461
"Barbour Hall Apartments",350,5,1,551,549,655,516,519,603,20.6135824207612,-0.0364067379565297
"Barbour Hall Apartments",150,5,1,553,571,547,441,479,578,18.9033573879947,-0.0357526788991631
"Marcy House","400B",6,1,554,587,446,277,512,516,8.37620531514637,-0.0173153687837198
"New Pembroke #3",318,1,,555,472,658,471,291,285,5.83357799445381,-0.0127099468762743
"Plantations House",102,2,,556,364,373,,385,316,8.80137271385184,-0.0220391621766756
"Plantations House",203,2,,556,364,373,,464,429,11.340914729832,-0.0259077551407968
"Plantations House",202,2,,556,364,373,,576,583,8.60588888650072,-0.0174799321579382
"Barbour Hall Apartments",250,5,1,558,642,621,402,507,557,12.0681328303823,-0.021947030560003
"Grad Center D",530,4,,559,,,,,535,82.7785510246853,-0.151193700499867
"Grad Center C",240,5,,559,586,345,594,567,608,10.3190602644529,-0.0188892407136184
"Caswell Hall",105,2,,559,572,558,544,545,561,104.855802417732,-0.188250991773282
"Grad Center D",520,6,,560,596,489,563,552,558,31.4132353212929,-0.0567533245627972
"Marcy House","400A",6,1,561,582,,362,532,508,11.6736203305842,-0.0228882037900186
"Caswell Hall",107,2,,562,545,545,582,571,565,76.4683332589897,-0.136024310533424
"Caswell Hall",108,2,,562,570,570,582,566,565,161.91769716864,-0.284232353133949
"Caswell Hall",109,2,,562,597,573,579,571,565,91.0637064691808,-0.158371663407148
"Caswell Hall",103,2,,564,565,568,589,522,556,50.861138761256,-0.0906346303074561
"Caswell Hall",106,2,,564,545,545,589,525,561,50.655394774285,-0.0912161917794101
"Diman House","400B",8,1,564,591,561,585,633,570,43.4008483999651,-0.074252528162894
"Plantations House",301,3,,565,364,373,,500,620,8.33670302568652,-0.0171428986249978
"Plantations House",201,2,,565,688,373,,619,583,8.59458853154089,-0.0149379763254669
"Chapin House","400A",8,1,566,422,576,,,594,13.9302855708199,-0.0257654187260335
"Goddard House",308,2,,566,663,472,638,475,653,12.052861800728,-0.0207067673744588
"Diman House","400A",8,1,567,585,517,580,614,517,28.6276548290468,-0.0507714008489774
"Barbour Hall Apartments",390,4,1,568,436,401,421,,,12.6137624843941,-0.0275989977185828
"Grad Center C",340,5,,569,,,399,418,605,9.69731710536986,-0.0194198330774316
"Caswell Hall",104,2,,570,565,568,589,522,556,50.225166443989,-0.0893421159290123
"Caswell Hall",112,2,,570,567,573,597,574,565,98.3124558532449,-0.171027757351366
"Grad Center C",320,5,,571,463,,,,,17.3079662210856,-0.0334412441131477
"Diman House",207,2,,571,,,,,,12935.5079934667,-22.6343098655399
"Slater Hall",301,4,,572,419,257,417,281,450,6.75625894872809,-0.0168859302186886
"Grad Center B",240,5,,573,598,622,592,463,629,18.450696392398,-0.0317751412472514
"Harkness House",207,2,,573,619,,,553,,38.1705137032697,-0.065565461299804
"Morriss Hall",201,6,1,574,331,374,233,487,506,6.39280444457721,-0.015267533124447
"Harkness House",113,2,,575,,,,,,13011.0381070406,-22.6082332012837
"Harkness House",117,2,,575,,,,,,13011.0381070406,-22.6082332012837
"Harkness House",201,2,,575,588,549,611,594,590,55.597220340628,-0.0950379326855456
"Harkness House",202,2,,575,619,549,611,588,590,46.3847211508158,-0.0787289941981247
"Harkness House",204,2,,576,619,590,622,580,,55.8137521569811,-0.0933495106508068
"Grad Center D",220,6,,577,628,593,577,605,646,42.7905312468491,-0.070745165651851
"Grad Center D",230,5,,577,,488,569,570,,27.3616694205498,-0.0496120360705919
"Grad Center C",220,5,,578,586,604,600,567,630,53.03056315701,-0.089176739829555
"Slater Hall",204,4,,580,399,275,527,381,550,7.36150243129256,-0.0162325592237939
"Harkness House",328,2,,581,615,578,628,562,593,47.7915298387272,-0.0805470854387932
"Harkness House",329,2,,581,546,,628,562,626,31.9513905235188,-0.0542328705699449
"Harkness House",330,2,,581,615,533,,,,31.0114131525327,-0.0537590692076969
"New Pembroke #4",209,1,,582,405,413,337,330,122,4.66860633662203,-0.0127690617927414
"Hope College",112,2,,583,,,,,,13161.0227077399,-22.5553090336722
"Mead House",109,1,,583,381,439,489,,372,10.5250482448045,-0.0232118634706922
"111 Brown Street",201,2,,584,634,504,,617,609,22.880036599587,-0.0387476661535385
"Diman House",321,2,,585,589,588,621,585,555,55.7556776855336,-0.094876299665794
"Diman House",327,2,,585,577,555,606,578,524,40.2683848637623,-0.0704811677098928
"Diman House",328,2,,585,577,555,606,578,551,56.5190130197898,-0.0981516716086667
"Grad Center B",230,5,,586,590,355,586,582,615,10.5470750516771,-0.0189723865799024
"Diman House",331,2,,586,577,569,652,573,555,33.9124616069607,-0.0578849950382252
"Sears House",301,2,,587,674,634,642,630,,40.4607736767835,-0.063808098415969
"New Pembroke #3",315,1,,588,467,512,289,363,285,6.528421113985,-0.0156004947826026
"Sears House",214,2,,588,541,620,633,445,555,15.9684960553027,-0.0282684852188798
"Sears House",224,2,,588,679,594,,,,25.9350035325108,-0.0417177230562755
"Grad Center D",320,6,,589,652,566,603,602,591,41.7230492904162,-0.0694205746608398
"New Pembroke #4",325,1,,589,444,429,364,361,319,8.60943165291677,-0.0205822179271601
"New Pembroke #2",103,1,,590,,423,,,,10.7035920684669,-0.0210728473006365
"Grad Center C",140,5,,591,603,657,587,616,644,42.4935223832949,-0.0688832970633252
"Harkness House",208,2,,591,,,,,,13309.2820319937,-22.5008996816833
"New Pembroke #4",427,1,,592,259,442,482,366,139,4.40498723393203,-0.0115471175260153
"New Pembroke #4",425,1,,592,444,433,461,365,354,10.2111218466752,-0.023096719634109
"New Pembroke #4",327,1,,592,445,419,467,362,348,9.84954985941959,-0.0224132722192307
"New Pembroke #4",321,1,,592,444,416,,,319,8.08596592207484,-0.0182221407528756
"New Pembroke #4",323,1,,592,444,449,364,362,319,8.52848440037139,-0.0201940970501771
"Grad Center A",210,5,,593,600,359,590,603,610,10.4641784453798,-0.0185705167707005
"Grad Center D",120,4,,593,512,529,632,555,540,24.8487841835247,-0.0443163247005051
"New Pembroke #4",426,1,,593,447,638,461,366,367,8.08994220170888,-0.0168362818107842
"Barbour Hall Apartments",320,4,1,594,625,540,539,439,611,15.7975224871872,-0.0282545442162303
"Barbour Hall Apartments",180,4,1,595,616,405,571,527,581,13.8305299711537,-0.0251224209797458
"Barbour Hall Apartments",120,4,1,595,392,376,565,367,640,7.47027044867672,-0.0151772395747824
"New Pembroke #4",219,1,,595,405,412,326,306,122,4.42203456758323,-0.0122243832782244
"Grad Center A",220,5,,596,599,610,588,382,,10.9301199715709,-0.0195843285219781
"New Pembroke #4",217,1,,597,405,402,326,330,122,4.50132034910805,-0.0123504657388897
"Marcy House",225,3,1,598,694,526,623,385,,8.72178418214586,-0.0152078234361984
"Harkness House",213,2,,599,,612,645,594,624,60.6964115989779,-0.0986444377014719
"Harkness House",217,2,,599,,612,645,594,624,60.6964115989779,-0.0986444377014719
"Slater Hall",201,4,,600,401,327,454,347,561,7.79226607068851,-0.0173352627865791
"Hope College",119,2,,600,,,,,,13473.5093390059,-22.4371515276732
"Diman House",201,1,,601,,,,,,13491.5622846566,-22.4298627449467
"Diman House",202,2,,601,,,,,,13491.5622846566,-22.4298627449467
"Diman House",204,2,,601,,,,,,13491.5622846566,-22.4298627449467
"Marcy House",301,2,,602,,,,,,13509.5726653063,-22.4225275102154
"Marcy House",302,2,,602,,,,,,13509.5726653063,-22.4225275102154
"Marcy House",321,2,,602,664,618,634,624,532,26.5477396590165,-0.0432818894309993
"Marcy House",325,2,,602,542,598,652,629,667,26.2925676174948,-0.042673066018243
"Marcy House",221,2,,602,542,642,641,,,26.4537592647614,-0.0435383158821707
"Grad Center A",340,6,,603,672,400,543,,,9.21063560857602,-0.0164468312149557
"Sears House",229,2,,604,660,625,,611,662,46.4253013643711,-0.0733362319531177
"Diman House",121,2,,605,669,632,618,577,627,39.9535016894248,-0.0642386339056145
"Grad Center D",110,5,,606,604,632,581,589,639,52.5378701255881,-0.0862681268840018
"Grad Center D",340,6,,607,579,566,605,525,616,33.8935962164319,-0.0580845106715064
"Grad Center C",230,6,,608,603,345,438,608,648,8.07582325055562,-0.0147195473268007
"Sears House",313,2,,609,678,,639,,619,42.4362023217342,-0.0666097764765892
"Slater Hall",101,4,,610,425,358,529,390,553,9.25414623544318,-0.0193335625825579
"Marcy House",304,2,,611,,,,,,13669.5615675929,-22.3541484239309
"Grad Center B",110,5,,611,612,645,613,609,341,8.7244241049312,-0.0149860801021412
"Goddard House",342,2,,612,,,,,,13687.0810838758,-22.346255154335
"New Pembroke #4",302,1,,613,473,524,476,356,380,9.78183851741369,-0.020758670745647
"Grad Center B",310,6,,614,428,599,357,536,635,8.75257653575091,-0.0164481475213324
"Grad Center A",240,6,,615,691,609,624,396,562,10.1758633233258,-0.0172170012844191
"New Pembroke #4",313,1,,615,454,438,574,351,348,8.0900821315004,-0.0174093241776064
"Slater Hall",304,4,,617,420,394,504,364,,9.01389150073933,-0.0195659714380075
"Barbour Hall Apartments",380,4,1,617,626,561,581,563,611,41.3407808504348,-0.0696350785017686
"Jameson House",307,3,,618,,,669,663,,49.9114663471048,-0.0766811493379177
"Grad Center B",210,6,,619,622,586,608,554,650,36.1812974568901,-0.0595994574569001
"111 Brown Street",202,2,,620,634,506,629,576,609,23.8454582891588,-0.0399718752987042
"111 Brown Street",203,2,,620,634,506,,617,609,22.7030622125626,-0.0379475074947375
"111 Brown Street",302,2,,620,667,504,629,530,609,17.9165151568907,-0.0301137934729868
"Grad Center B",140,5,,621,623,650,608,613,638,78.777281291501,-0.125841942072583
"New Pembroke #4",303,1,,621,441,422,415,342,343,8.29968795547208,-0.0192376792105683
"111 Brown Street",102,2,,622,696,580,672,572,640,23.4066052088046,-0.0369824341414749
"111 Brown Street",301,2,,622,667,504,629,530,510,15.5518411737084,-0.0268684067907276
"New Pembroke #4",326,1,,622,445,448,467,362,348,9.00465421298314,-0.0200340962968906
"Barbour Hall Apartments",170,4,1,623,338,333,399,298,529,6.33543788839393,-0.0150372927285035
"Grad Center B",120,5,,624,613,646,612,609,638,81.0819121193979,-0.12990404183057
"Sears House",304,2,,625,674,628,642,617,,57.172336480065,-0.0896477405530116
"Sears House",307,2,,625,683,634,651,593,666,38.2378860724167,-0.059456449419584
"Sears House",308,2,,625,595,628,651,593,656,46.0742196892709,-0.0736907531987174
"Sears House",314,2,,625,678,,651,,619,48.3336072843016,-0.0750426458001823
"Sears House",317,2,,625,683,,639,,619,44.9157489063086,-0.0699194774035062
"New Pembroke #4",421,1,,626,444,638,461,366,354,7.39293046185836,-0.0152687915229538
"Chapin House",313,2,,627,486,,660,634,676,14.4372763824442,-0.0231580754532124
"Chapin House",314,2,,627,486,,671,634,,14.1437449061972,-0.0232234041379876
"Chapin House",317,2,,627,666,647,671,595,675,39.216237571079,-0.0605081762674438
"Marcy House",121,2,,628,690,616,641,625,,43.268789279867,-0.0675297540916339
"Marcy House",125,2,,628,676,616,641,637,,57.214112884863,-0.0893752868208538
"Diman House",117,2,,628,669,623,618,574,594,37.4552292669909,-0.0605778507504163
"Sears House",117,2,,628,685,,653,635,,52.2000853661781,-0.0801841522060399
"Sears House",228,2,,629,679,625,,611,645,48.7449984895979,-0.0763452727937453
"Barbour Hall Apartments",220,4,1,629,606,539,542,387,382,9.18789879232188,-0.0177842675763294
"New Pembroke #4",413,1,,630,458,638,596,366,367,7.36477641337562,-0.0143278595788857
"New Pembroke #4",423,1,,630,444,638,461,346,354,7.04513228842187,-0.014620837701649
"Sears House",230,2,,630,660,639,,611,595,50.2509476704455,-0.0800734935838516
"Hope College",107,2,,631,,,,,,14006.9455250031,-22.1804368280497
"Grad Center A",130,5,,632,649,640,610,587,644,51.8309997311947,-0.0825934925925857
"Goddard House",346,2,,633,,,,,,14038.7748031558,-22.1606553392475
"Goddard House",347,2,,633,,,,,,14038.7748031558,-22.1606553392475
"Goddard House",348,2,,633,,,,,,14038.7748031558,-22.1606553392475
"New Pembroke #4",402,1,,634,473,661,494,362,367,7.31539952432588,-0.0145586528548174
"New Pembroke #3",303,1,,634,456,512,,376,361,8.33052500237633,-0.0177555395244923
"Barbour Hall Apartments",30,4,1,635,657,362,551,569,658,8.87441754348553,-0.0152523660964297
"Diman House",215,3,1,635,652,583,591,642,646,40.9223900602304,-0.0654265091097927
"Diman House",315,3,1,635,661,588,621,633,,47.7077413648592,-0.0759492686607126
"Chapin House",113,2,,636,733,656,672,646,,29.5813173308971,-0.0438818091708673
"Chapin House",117,2,,636,706,648,657,646,676,47.3129156353597,-0.0713426268380456
"East Andrews",416,2,,637,,669,,,,72.2177110859406,-0.110481702974106
"East Andrews",450,2,,637,,669,,,,72.2177110859406,-0.110481702974106
"East Andrews",452,2,,637,,623,,,,163.510289231537,-0.259334320090142
"Diman House",115,3,1,638,675,656,621,,627,58.0370315748011,-0.0901158405433897
"Sears House",223,2,,639,691,594,651,,,31.731268451725,-0.0491647478981203
"Grad Center A",140,5,,640,645,538,614,587,632,29.0521837892695,-0.0476164260600443
"Goddard House",301,2,,641,,629,638,,,226.776502061189,-0.356286727492201
"Goddard House",302,2,,641,,629,638,,,226.776502061189,-0.356286727492201
"Goddard House",304,2,,641,,605,638,,665,53.2001926656844,-0.0834006187004136
"Goddard House",223,2,,643,696,631,643,623,666,46.3332697616343,-0.0711319812591582
"Goddard House",227,2,,643,711,631,643,623,665,37.5990879666042,-0.0574479220401824
"Goddard House",323,2,,643,656,629,643,475,665,15.0946689221146,-0.0241602653294925
"Goddard House",327,2,,643,656,614,643,639,586,48.3451742155553,-0.0766468222584608
"Sears House",113,2,,644,685,,653,635,666,65.8543071605712,-0.100178184739544
"Sears House",217,2,,644,686,625,651,630,660,56.8221773932967,-0.0874122400388384
"Sears House",302,2,,644,674,634,642,630,,75.3385640009402,-0.116745966353071
"Marcy House",219,3,1,645,676,642,652,637,,85.8545477799102,-0.131897227956057
"Marcy House",319,3,1,645,664,656,634,592,673,42.5657087244985,-0.0659967494419482
"Miller",124,2,,646,658,,666,193,,3.5497715954573,-0.00578628373548205
"Metcalf",120,2,,646,447,,,,647,9.78018000415169,-0.0165904610748782
"Mead House",211,3,,647,706,,662,,,42.941501109768,-0.0636262128961573
"Goddard House",127,2,,647,713,642,643,640,646,42.7039798627113,-0.0650288281457
"Chapin House",213,2,,649,733,648,671,641,564,19.4108650808693,-0.0294133436293689
"Marcy House",119,3,1,649,702,641,658,625,669,46.072158800768,-0.0699368382493956
"Jameson House",117,3,,649,,694,650,663,346,6.13154270898179,-0.00936718986020434
"Miller",121,3,,650,658,,615,538,622,25.1793199681154,-0.0407454887715423
"New Pembroke #2",207,2,,650,,553,362,227,,4.44591119234635,-0.00974671022473185
"King House",103,2,,653,,,,,,14321.7471725827,-21.9154521787021
"King House",107,2,,653,,,,,,14321.7471725827,-21.9154521787021
"Poland House",216,3,,654,,,714,,,23.116267465573,-0.0322664880804659
"Poland House",224,3,,654,,,,,,14333.3396863782,-21.8996800001151
"New Pembroke #2",102,2,,656,,649,539,448,,11.0339058588845,-0.0190842814886259
"New Pembroke #2",105,2,,656,,649,664,632,,99.7838115095538,-0.153334312313564
"Everett House",407,3,,657,,627,,,,77.1954762480774,-0.120143192378065
"New Pembroke #1",415,2,,657,538,659,659,619,,22.7409491902478,-0.0361821007919774
"Archibald House",319,4,,658,,668,677,,,154.520253950649,-0.23124859356536
"New Pembroke #1",201,2,,661,677,586,659,619,587,30.0419417655705,-0.0474696471261751
"New Pembroke #1",301,2,,661,677,643,,619,599,39.7197178591219,-0.0619824132506231
"New Pembroke #2",206,2,,666,,663,662,431,,8.61583207824595,-0.0137115846166512
"East Andrews",214,3,,670,681,680,415,651,,8.36322411003794,-0.0128900111802186
"New Pembroke #1",401,2,,675,745,643,659,632,599,21.08298821366,-0.031533657995631
"New Pembroke #2",215,2,,675,,663,661,602,,39.0370649116159,-0.0599025152998167
"West Andrews",211,3,,679,621,,666,651,,53.2539285826961,-0.0812938648384899
"West Andrews",411,3,,679,,691,666,,684,115.135883153426,-0.16881270982289
"East Andrews",414,3,,684,737,691,670,,,34.2108576233956,-0.0479297113295317
"East Andrews",208,1,,,4,139,78,97,62,2.86123953071009,-0.0381424756798163
"Minden",209,1,,,7,5,15,3,5,2.94721420961981,-0.401200915782839
"Minden",305,1,,,8,6,,,,14.2032206624746,-1.8937629569505
"Metcalf",107,1,,,10,130,243,159,270,2.95206713106194,-0.0184370709909658
"Minden",805,1,,,12,25,22,,65,2.47939931726883,-0.0813667150561358
"Minden",705,1,,,17,27,21,,71,2.55790259003599,-0.0763853318092441
"Gregorian Quad B","401B",1,,,21,23,61,68,36,3.80488190814294,-0.0904940764326289
"Gregorian Quad B","401C",1,,,23,62,35,62,52,5.49936892315505,-0.116357113207267
"Hegeman E",114,1,,,30,70,44,30,88,4.03137759919465,-0.0765528864160365
"Gregorian Quad A",305,3,1,,31,96,115,147,82,4.36719712166745,-0.0462523336315805
"Gregorian Quad B","402B",1,,,33,68,81,129,65,4.28797234382073,-0.0568295927319479
"Gregorian Quad B","402A",1,,,35,32,52,89,38,4.15797884341364,-0.0839869715799761
"Gregorian Quad B","402C",1,,,35,36,,54,65,6.88170929663333,-0.143391883836772
"Gregorian Quad B","403F",1,,,38,62,81,33,30,4.4466245729732,-0.0904423137874106
"Gregorian Quad B","401F",1,,,47,62,108,123,115,5.37831881147309,-0.058831259373359
"Gregorian Quad B","402F",1,,,51,28,81,111,65,4.27434728931316,-0.0633472941962188
"East Andrews",210,1,,,64,157,143,146,118,6.84184810646304,-0.0542660180501199
"Gregorian Quad B","401A",1,,,70,,108,62,115,7.00406135391418,-0.0784874532365007
"Gregorian Quad B","401D",1,,,70,133,167,143,120,7.14107946081363,-0.0561911367698808
"Chapin House",320,1,,,72,396,392,,342,3.90751355875355,-0.0130323706434543
"Gregorian Quad A","408D",1,,,73,20,,,,2.9549799447865,-0.0639861400930201
"Gregorian Quad B","403A",1,,,74,62,56,129,57,4.95411048232137,-0.0651954122978229
"Barbour Hall Apartments",40,4,1,,77,,,,287,2.88271120146741,-0.0160953934224071
"Gregorian Quad A",213,4,1,,99,58,98,212,150,4.10883127338653,-0.0332961686462179
"Hope College",114,1,,,106,319,193,222,205,5.53616871150188,-0.0264446434291257
"East Andrews",462,1,,,158,146,170,107,136,12.1512766938901,-0.0844425448341572
"West Andrews",453,1,,,160,239,185,126,113,6.6326508012048,-0.0401816668556964
"West Andrews",455,1,,,160,154,25,107,92,3.85922682535275,-0.0358969908475605
"Plantations House",204,1,,,164,159,,103,187,9.02953384875033,-0.0587294778038884
"West Andrews",207,1,,,169,135,123,156,108,11.4385070300972,-0.0824694899273123
"West Andrews",203,1,,,176,134,141,23,84,3.65653493192836,-0.0328496401184672
"West Andrews",253,1,,,179,137,160,158,108,11.1660098052571,-0.0749900905896145
"Machado",124,1,,,182,,333,,,6.1671254214559,-0.0239117527778277
"East Andrews",410,1,,,186,270,161,126,113,5.54262060501908,-0.0323039750815241
"Champlin",423,1,,,188,235,,148,,9.73323936250604,-0.0510041930039682
"Gregorian Quad B","402E",1,,,191,59,167,89,120,4.60193691530894,-0.0366913495263213
"Gregorian Quad B","403E",1,,,194,69,139,140,123,6.01838023217603,-0.0451001201432093
"Gregorian Quad B","403D",1,,,203,108,151,116,94,6.22613183302328,-0.0461686646780531
"Gregorian Quad A",310,5,1,,204,255,7,278,290,3.41250475110558,-0.0166182639642588
"Champlin",114,1,,,212,,,,,4835.10034271688,-22.7534132015461
"Sears House","114A",1,,,213,,341,,8,2.04133012699047,-0.0115098987076112
"Champlin",103,1,,,219,226,219,284,111,6.85800378424196,-0.032308389908233
"Minden",607,2,,,223,102,,,214,5.89973329900189,-0.0327614136768376
"Wayland House",212,1,,,225,219,189,188,192,23.0168737598031,-0.113327788084173
"Gregorian Quad B","402D",1,,,230,59,6,134,120,2.26877815710696,-0.0214706851240304
"Gregorian Quad B","401E",1,,,234,144,167,135,115,7.03107983959719,-0.0440876679481846
"Machado",122,1,,,257,352,546,,,5.702050593219,-0.0147814852464235
"Minden",307,2,,,263,242,274,144,392,5.99900929038125,-0.0227759989313485
"Machado",120,1,,,269,380,,,,10.6204274148912,-0.0326783067667277
"Machado",125,1,,,281,,485,,,6.76836580837521,-0.0176459738005185
"Young Orchard #2",110,4,1,,300,,389,205,424,7.02702243800905,-0.0212957778522329
"Hegeman B",106,3,,,306,,,,,7136.20727758757,-23.282894809663
"Sears House",320,1,,,313,,,,,7307.86756391722,-23.3105822876529
"Sears House",321,1,,,313,,,,,7307.86756391722,-23.3105822876529
"Chapin House","114B",1,,,318,218,431,310,280,8.1477341483031,-0.026123740866424
"Woolley",416,1,,,329,329,422,329,154,6.49138116935753,-0.0207366237587274
"Goddard House",214,1,,,334,,364,266,256,12.2056503504399,-0.0399530452939638
"Machado",121,1,,,335,288,536,,,6.45157148624454,-0.0166719366530799
"Sears House",319,1,,,336,,241,,,11.0350586011007,-0.0381836504478946
"Poland House",207,1,,,340,49,349,358,,3.63845649725513,-0.0133403801534693
"Grad Center A",410,5,,,347,,561,354,577,7.42352839499002,-0.0160913596485444
"Goddard House",331,1,,,351,307,386,262,277,12.4674057218131,-0.0393169644088065
"Chapin House",322,1,,,354,,,282,379,14.9460901718269,-0.0441104487699698
"Barbour Hall Apartments",160,5,1,,358,508,,385,479,12.5361223813996,-0.0289509230795382
"Goddard House",216,1,,,360,,439,282,274,9.19030685822137,-0.0270902405383147
"Goddard House",212,1,,,362,,286,248,,11.4489503633115,-0.0382695079423826
"Goddard House",113,1,,,372,,,,,8726.77174063926,-23.4275751422527
"Chapin House",321,1,,,385,,,,360,54.1382118105674,-0.145142659009564
"Chapin House",327,1,,,385,,,255,272,9.57059541597732,-0.0314307481884024
"Chapin House","326B",1,,,385,431,,335,423,18.8148880742485,-0.0477535220236368
"Chapin House","326A",1,,,385,400,,335,389,27.4042247882362,-0.0725459292869961
"Everett House",214,1,,,386,,,434,465,23.9340786600831,-0.0558120755347038
"Everett House",224,1,,,386,,,,,9052.3407235904,-23.4213214169217
"Goddard House",329,1,,,389,307,386,,,17.2541507295127,-0.0477733753190027
"Goddard House",330,1,,,389,307,166,185,277,5.84022661823364,-0.0220245182467398
"Jameson House",218,1,,,394,472,531,414,410,15.8704111801353,-0.0356877041924301
